"date","lat","lon","id","Size","BellColor","VesicleSize","VesicleColor","VesicleShape","nearest_logger_id","nearest_logger_dist"
2021-08-17,24.82735504,-80.81425216,91590587,"large","n/a","medium","white","round",2,32254.8822893141
2021-08-17,24.82735504,-80.81425216,91590599,"large","n/a","medium","blue","round",2,32254.8822893141
2021-08-17,24.82735504,-80.81425216,91590600,"large","n/a","medium","blue","round",2,32254.8822893141
2021-08-17,24.82735504,-80.81425216,91590601,"large","n/a","large","blue","round",2,32254.8822893141
2021-08-17,24.8263277,-80.8139384,91627105,"n/a","n/a","large","blue","round",2,32238.3288545559
2021-08-17,24.8263277,-80.8139384,91628396,"large","n/a","small","blue","round",2,32238.3288545559
2021-08-19,24.74958014,-80.97880481,91782884,"small","white","large","white","round",2,13606.8169267875
2021-08-19,24.74958014,-80.97880481,91782889,"medium","white","small","white","round",2,13606.8169267875
2021-08-19,24.74958014,-80.97880481,91782902,"large","brown","n/a","n/a","n/a",2,13606.8169267875
2021-08-19,24.74958014,-80.97880481,91782903,"large","blue","n/a","n/a","n/a",2,13606.8169267875
2021-08-19,24.74945934,-80.97865706,91874229,"large","n/a","n/a","n/a","n/a",2,13616.7650592926
2021-08-19,24.74945934,-80.97865706,91874237,"large","brown","n/a","n/a","n/a",2,13616.7650592926
2021-08-19,24.74945934,-80.97865706,91874238,"large","brown","n/a","n/a","n/a",2,13616.7650592926
2021-08-19,24.74945934,-80.97865706,91874239,"large","brown","medium","white","round",2,13616.7650592926
2021-08-19,26.97746094,-80.08820638,92087291,"medium","blue","n/a","n/a","n/a",11,40947.0465117828
2021-08-20,24.82799851,-80.81459582,92277296,"n/a","brown","n/a","n/a","n/a",2,32251.8623636672
2021-08-20,24.82799851,-80.81459582,92277346,"large","brown","medium","brown","round",2,32251.8623636672
2021-08-20,24.82818614,-80.81493508,92378916,"large","brown","medium","blue","round",2,32228.9222534296
2021-08-28,24.65573189,-81.30309791,92899085,"large","n/a","large","white","round",2,20815.5223831548
2014-10-10,26.8752122,-82.3221275,92948000,"medium","white","n/a","n/a","n/a",9,168230.055405632
2014-10-10,26.8752122,-82.3221275,92948243,"large","white","small","blue","slender",9,168230.055405632
2021-08-29,25.12211181,-80.41817686,92995719,"large","brown","n/a","n/a","n/a",8,10161.1921576093
2021-09-05,26.94086347,-80.07316405,93755259,"large","brown","large","blue","slender",11,36724.5835449481
2021-09-01,25.14068278,-80.40230258,93879408,"small","blue","n/a","n/a","n/a",8,7607.89961763331
2021-09-07,24.57084951,-81.74735852,93997852,"medium","blue","n/a","n/a","n/a",7,6542.38727869426
2013-11-16,25.12214856,-80.40355766,95357222,"large","blue","small","blue","round",8,9577.48841521682
2021-09-20,25.1422555,-80.922975,95593946,"small","white","n/a","n/a","n/a",1,9310.10942271882
2017-07-12,26.78273566,-80.04252797,96146265,"large","brown","small","blue","slender",11,18935.2731987933
2021-09-25,25.09583617,-80.437425,96179054,"large","blue","n/a","n/a","n/a",8,13654.3338079961
2021-09-27,27.29704531,-82.54736466,96380612,"small","brown","small","blue","slender",10,52196.5463814356
2017-07-13,26.78290612,-80.04259234,96614604,"large","brown","large","blue","round",11,18954.511358504
2021-10-02,26.94136962,-80.0721946,96906148,"small","brown","n/a","n/a","n/a",11,36770.5947368706
2021-10-03,25.09113264,-80.45857925,97026011,"medium","brown","n/a","n/a","n/a",8,15224.2633387147
2021-09-03,24.87899333,-80.70506667,97260694,"medium","blue","n/a","n/a","n/a",1,29908.6473515883
2021-09-03,24.87899,-80.705065,97260695,"large","blue","n/a","n/a","n/a",1,29909.0545174582
2008-12-16,25.06802007,-80.47141087,97504012,"large","brown","small","blue","round",8,18079.8695260712
2015-11-26,25.06785,-80.47217262,98165326,"small","brown","n/a","n/a","n/a",1,36915.2490890781
2021-09-27,24.88041733,-80.70525628,98240181,"small","n/a","medium","blue","slender",1,29757.5210409745
2021-10-15,25.0237055,-80.49421667,98297835,"large","n/a","medium","blue","round",8,23476.6505072263
2021-09-26,25.1414805,-80.92261667,98353962,"medium","blue","n/a","n/a","n/a",1,9253.67413469767
2021-09-28,24.77707365,-80.9088722,99692131,"large","n/a","large","blue","round",2,21290.8077059716
